date,spill,forebay
2005-05-27 00:00:00,124.0,115.30343
2005-05-27 01:00:00,123.9,115.30343
2005-05-27 02:00:00,123.9,115.587847
2005-05-27 03:00:00,123.9,115.0
2005-05-27 04:00:00,104.1,115.191546
2005-05-27 21:00:00,101.5,115.079365
2005-05-27 22:00:00,123.6,115.782493
2005-05-27 23:00:00,123.8,115.587847
2005-05-28 00:00:00,123.9,116.005291
2005-05-28 01:00:00,123.9,116.578249
2005-05-28 02:00:00,124.0,116.534392
2005-05-28 03:00:00,124.0,116.534392
2005-05-28 21:00:00,103.0,113.984169
2005-05-28 22:00:00,125.5,113.552632
2005-05-28 23:00:00,125.2,113.720317
2005-05-29 00:00:00,125.4,113.421053
2005-05-29 01:00:00,125.4,113.606341
2005-05-29 02:00:00,125.7,112.894737
2005-05-29 03:00:00,125.6,112.631579
2005-05-29 22:00:00,124.5,108.267717
2005-05-29 23:00:00,124.5,107.863696
2005-05-30 00:00:00,124.5,107.732634
2005-05-30 01:00:00,124.6,107.470511
2005-05-30 02:00:00,124.6,107.33945
2005-05-30 03:00:00,124.7,107.208388
2005-05-30 04:00:00,103.0,107.086614
2005-05-30 22:00:00,129.5,106.824147
2005-05-30 23:00:00,129.5,106.684142
2005-05-31 00:00:00,129.4,106.692913
2005-05-31 01:00:00,129.6,106.55308
2005-05-31 02:00:00,129.3,106.422018
2005-05-31 03:00:00,129.2,106.56168
2005-05-31 04:00:00,106.8,106.159895
2005-05-31 22:00:00,129.5,106.842105
2005-05-31 23:00:00,129.5,106.56168
2005-06-01 00:00:00,129.5,106.692913
2005-06-01 01:00:00,129.4,106.701708
2005-06-01 02:00:00,129.2,106.56168
2005-06-01 03:00:00,129.3,106.692913
2005-06-01 04:00:00,105.4,106.56168
2005-06-01 22:00:00,135.7,108.792651
2005-06-01 23:00:00,139.5,108.519004
2005-06-02 00:00:00,139.5,108.672799
2005-06-02 01:00:00,139.5,108.672799
2005-06-02 02:00:00,139.5,108.256881
2005-06-02 03:00:00,139.5,108.409987
2005-06-02 04:00:00,114.0,108.278581
2005-06-02 22:00:00,147.9,106.815203
2005-06-02 23:00:00,149.4,107.227332
2005-06-03 00:00:00,149.4,107.490145
2005-06-03 01:00:00,149.5,107.349081
2005-06-03 02:00:00,149.6,107.480315
2005-06-03 03:00:00,149.6,107.742782
2005-06-03 04:00:00,117.8,108.026316
2005-06-03 22:00:00,147.0,106.052632
2005-06-03 23:00:00,149.5,106.044678
2005-06-04 00:00:00,149.5,106.167979
2005-06-04 01:00:00,149.5,106.842105
2005-06-04 02:00:00,149.5,106.833114
2005-06-04 03:00:00,149.5,106.955381
2005-06-04 04:00:00,121.1,106.955381
2005-06-04 22:00:00,148.9,105.804749
2005-06-04 23:00:00,154.0,105.944518
2005-06-05 00:00:00,154.0,106.076618
2005-06-05 01:00:00,154.0,106.076618
2005-06-05 02:00:00,154.0,106.896552
2005-06-05 03:00:00,153.9,107.29443
2005-06-05 04:00:00,122.7,107.407407
2005-06-05 22:00:00,143.4,107.001321
2005-06-05 23:00:00,153.6,106.869221
2005-06-06 00:00:00,153.6,106.46438
2005-06-06 01:00:00,153.6,106.622517
2005-06-06 02:00:00,153.6,106.208719
2005-06-06 03:00:00,153.3,106.076618
2005-06-06 04:00:00,122.5,106.076618
2005-06-06 22:00:00,156.7,107.884363
2005-06-06 23:00:00,163.8,108.17942
2005-06-07 00:00:00,163.9,107.773386
2005-06-07 01:00:00,163.7,107.368421
2005-06-07 02:00:00,163.8,107.378129
2005-06-07 03:00:00,163.8,107.114625
2005-06-07 04:00:00,130.8,106.842105
2005-06-07 22:00:00,147.3,108.168643
2005-06-07 23:00:00,153.8,107.905138
2005-06-08 00:00:00,153.8,107.783641
2005-06-08 01:00:00,153.8,107.236842
2005-06-08 02:00:00,153.8,106.973684
2005-06-08 03:00:00,153.6,106.710526
2005-06-08 04:00:00,121.4,106.315789
2005-06-08 22:00:00,149.8,109.234828
2005-06-08 23:00:00,154.54,108.982827
2005-06-09 00:00:00,154.5,108.718626
2005-06-09 01:00:00,154.6,108.443272
2005-06-09 02:00:00,154.6,108.17942
2005-06-09 03:00:00,154.5,107.905138
2005-06-09 04:00:00,123.2,107.926024
2005-06-09 22:00:00,139.2,109.762533
2005-06-09 23:00:00,140.6,109.473684
2005-06-10 00:00:00,139.8,109.210526
2005-06-10 01:00:00,139.4,108.947368
2005-06-10 02:00:00,139.7,108.815789
2005-06-10 03:00:00,139.7,108.421053
2005-06-10 04:00:00,110.7,108.157895
2005-06-10 22:00:00,124.4,108.970976
2005-06-10 23:00:00,124.7,108.289474
2005-06-11 00:00:00,124.8,108.026316
2005-06-11 01:00:00,124.8,107.905138
2005-06-11 02:00:00,124.8,107.5
2005-06-11 03:00:00,124.8,107.236842
2005-06-11 04:00:00,102.2,107.105263
2005-06-11 22:00:00,122.5,107.217848
2005-06-11 23:00:00,125.1,106.684142
2005-06-12 00:00:00,125.1,106.422018
2005-06-12 01:00:00,125.1,106.028834
2005-06-12 02:00:00,125.0,106.044678
2005-06-12 03:00:00,125.0,105.504587
2005-06-12 04:00:00,104.3,105.511811
2005-06-12 22:00:00,140.6,107.208388
2005-06-12 23:00:00,145.4,107.358739
2005-06-13 00:00:00,145.1,106.946265
2005-06-13 01:00:00,145.3,106.675393
2005-06-13 02:00:00,145.3,106.684142
2005-06-13 03:00:00,145.3,106.55308
2005-06-13 04:00:00,111.6,106.151832
2005-06-13 22:00:00,142.3,108.684211
2005-06-13 23:00:00,145.8,108.39895
2005-06-14 00:00:00,145.8,108.541393
2005-06-14 01:00:00,145.9,108.409987
2005-06-14 02:00:00,145.9,108.575198
2005-06-14 03:00:00,145.9,107.884363
2005-06-14 04:00:00,116.9,108.047493
2005-06-14 22:00:00,138.4,108.421053
2005-06-14 23:00:00,145.5,108.289474
2005-06-15 00:00:00,145.5,108.147175
2005-06-15 01:00:00,145.5,108.147175
2005-06-15 02:00:00,145.5,107.742782
2005-06-15 03:00:00,145.5,107.611549
2005-06-15 04:00:00,111.2,107.631579
2005-06-15 22:00:00,150.9,110.449735
2005-06-15 23:00:00,155.5,110.463576
2005-06-16 00:00:00,155.5,110.331126
2005-06-16 01:00:00,155.4,110.344828
2005-06-16 02:00:00,155.3,110.358566
2005-06-16 03:00:00,155.0,110.092961
2005-06-16 04:00:00,117.4,109.681698
2005-06-16 22:00:00,134.8,111.686587
2005-06-16 23:00:00,134.8,111.420983
2005-06-17 00:00:00,134.4,111.288181
2005-06-17 01:00:00,134.2,111.303191
2005-06-17 02:00:00,134.5,111.185087
2005-06-17 03:00:00,134.5,110.756972
2005-06-17 04:00:00,109.5,110.491368
2005-06-17 22:00:00,134.5,112.068966
2005-06-17 23:00:00,134.5,111.655629
2005-06-18 00:00:00,134.5,110.964333
2005-06-18 01:00:00,134.5,110.714286
2005-06-18 02:00:00,134.5,110.449735
2005-06-18 03:00:00,134.5,109.90753
2005-06-18 04:00:00,109.5,109.78836
2005-06-18 22:00:00,138.8,110.803689
2005-06-18 23:00:00,140.1,110.249671
2005-06-19 00:00:00,140.2,110.27668
2005-06-19 01:00:00,139.9,110.144928
2005-06-19 02:00:00,139.6,109.736842
2005-06-19 03:00:00,139.4,109.198423
2005-06-19 04:00:00,112.8,108.935611
2005-06-19 22:00:00,121.1,110.23622
2005-06-19 23:00:00,138.0,110.64389
2005-06-20 00:00:00,139.6,110.498688
2005-06-20 01:00:00,139.4,110.498688
2005-06-20 02:00:00,139.4,110.64389
