date,tailwater_tdg
2005-05-31 02:00:00,119.6592
2005-05-31 03:00:00,119.397
2005-05-31 04:00:00,115.072
2005-05-31 22:00:00,118.3726
2005-05-31 23:00:00,118.1102
2005-06-01 00:00:00,118.5039
2005-06-01 01:00:00,118.1102
2005-06-01 02:00:00,117.9789
2005-06-01 03:00:00,118.3726
2005-06-01 04:00:00,114.8099
2005-06-01 22:00:00,119.6334
2005-06-01 23:00:00,119.6592
2005-06-02 00:00:00,119.5281
2005-06-02 01:00:00,119.6592
2005-06-02 02:00:00,119.6592
2005-06-02 03:00:00,119.6592
2005-06-02 04:00:00,117.0379
2005-06-02 22:00:00,119.9213
2005-06-02 23:00:00,120.0523
2005-06-03 00:00:00,119.9213
2005-06-03 01:00:00,119.6592
2005-06-03 02:00:00,119.266
2005-06-03 03:00:00,119.7902
2005-06-03 04:00:00,116.1205
2005-06-03 22:00:00,119.4225
2005-06-03 23:00:00,119.1349
2005-06-04 00:00:00,119.9213
2005-06-04 01:00:00,119.397
2005-06-04 02:00:00,119.6592
2005-06-04 03:00:00,119.685
2005-06-04 04:00:00,115.3341
2005-06-04 22:00:00,120.3434
2005-06-04 23:00:00,120.2113
2005-06-05 00:00:00,119.6829
2005-06-05 01:00:00,119.6829
2005-06-05 02:00:00,119.5508
2005-06-05 03:00:00,119.6829
2005-06-05 04:00:00,115.852
2005-06-05 22:00:00,119.4993
2005-06-05 23:00:00,119.631
2005-06-06 00:00:00,119.7888
2005-06-06 01:00:00,119.7888
2005-06-06 02:00:00,119.7888
2005-06-06 03:00:00,119.4993
2005-06-06 04:00:00,115.5467
2005-06-06 22:00:00,119.9474
2005-06-06 23:00:00,119.9736
2005-06-07 00:00:00,120.105
2005-06-07 01:00:00,120.2365
2005-06-07 02:00:00,119.9474
2005-06-07 03:00:00,120.105
2005-06-07 04:00:00,116.4257
2005-06-07 22:00:00,119.3166
2005-06-07 23:00:00,119.3166
2005-06-08 00:00:00,119.7108
2005-06-08 01:00:00,119.5794
2005-06-08 02:00:00,119.8422
2005-06-08 03:00:00,119.448
2005-06-08 04:00:00,115.5262
