,0.05,0.5,0.95
0,100.3644583161227,107.93218220370586,119.20439341661812
1,100.28282371720341,108.22674786514479,119.34718582806869
2,100.20879876761798,108.59306589940802,119.48490383658435
3,100.14414168632823,109.0625187037026,119.61881814737569
4,100.19318074002855,109.69678680647817,119.73976453259974
5,100.27437472247529,110.31435042400702,119.91422625468154
6,100.32680180395727,111.06559400000003,120.15471474981449
7,100.38107720261954,111.75447999999999,120.5238352885844
8,100.35653358544333,112.40064731535506,120.46375301404146
9,101.22461635280933,113.04345404164052,120.50916897482864
10,101.80713640438029,113.87544467906237,120.56412071524306
11,102.47645608304084,113.97294974306404,120.54932838764505
12,103.41559642739276,114.02498506111769,120.609209543506
13,103.3976054162487,114.0802041560425,120.62599471389387
14,103.36567951485351,114.18220637150141,120.57224038544605
15,103.34968497014091,114.31342536305397,120.48093924149246
16,103.34451401410412,114.4617555510395,120.3714649499237
17,103.34877708836073,114.66703195992869,120.2628279248634
18,103.40674245351359,114.93103939280994,120.2418116709171
19,103.54681132658726,115.23870063293593,120.39630170332065
20,103.73879587221701,115.65759486106967,120.62556524090887
21,104.04297748610719,116.05633035780342,120.90937293811393
22,105.49682428655383,116.4391394914741,121.36955517628611
23,106.6373681637131,116.77538326182561,121.89223873315252
24,107.82389074999999,117.04833108646322,122.40051358979466
25,109.04109600000001,117.45811016504388,122.88895717895181
26,110.04346609999999,117.80674694868243,123.38455453687172
27,110.95829479038946,118.17695152514234,123.6653188278122
28,111.87270054996503,118.5671180984051,123.87539341105816
29,113.04687359267987,118.73268216619955,123.91198923945171
30,113.16958924160953,118.79837516585847,123.84245328664278
31,113.29341908849122,118.88893547590237,123.7767241167597
32,114.06814741623546,119.0212904320612,123.70584695910352
33,115.07564973778231,119.19538364638731,123.628416132049
34,115.74224471397764,119.41558004523317,123.47574041280181
35,117.2145679993393,119.63185128919446,123.26649740309703
36,117.21111596362388,119.80018646995975,123.06786585439244
37,117.21761233970945,119.92190889588247,122.84812577914671
38,117.25820775897657,120.00315467890266,122.67816724048856
39,117.35312038029588,120.031646369574,122.64824622553037
40,117.47173228428171,120.03902622882921,122.66331631640541
41,117.59550453336868,120.02633859744915,122.68674938773933
42,117.71452392691057,120.0207989662891,122.73580175123902
43,117.82241868947307,120.07997060629152,122.84193341369848
44,117.93772826220916,120.19129497347582,122.99154631454289
45,118.0707332949568,120.37543776547957,123.14689582940909
46,118.21872805524053,120.64161826199906,123.29774857471809
47,118.37182371308653,120.9142303563064,123.42190168822904
48,118.49752887170203,121.13014409632797,123.47378946758488
49,118.60646510448704,121.34060323504227,123.47855968820686
50,118.81266377304941,121.55917831630232,123.49468880610058
51,119.04489013687477,121.77780275749788,127.80779719414097
52,119.2709853722873,122.00531964531149,129.56145790890955
53,119.52872387904848,122.22911341379805,133.5305870609059
54,119.80402436143815,122.44929877186722,133.81567514094039
55,120.09400553201733,122.63000199059914,134.17945817078032
56,120.32896427039908,122.78733948504413,134.64623794889937
57,120.57857567111334,122.95856401892397,135.06161958031922
58,120.80048019702727,123.04405752049531,135.4853122352301
59,120.82831941817938,123.03553119797395,135.89516768167334
60,120.79303553443796,122.96837812411479,136.13427752155908
61,120.75232292406592,122.8662700197343,136.2724135325515
62,120.72110241231788,122.75085410590218,136.41015053786305
63,120.69035056016216,122.58155929386264,136.5044486227754
64,120.6398143736084,122.34502162070423,132.6549609331099
65,120.58032128581765,122.14594101463227,130.0508376380832
66,120.52458940865604,121.97370440435446,127.46382729763438
67,120.48454523231499,121.77625719593732,123.62396596404952
68,120.47400198309754,121.69388480991685,123.61901881354042
69,120.51650386379991,121.69994796691819,123.59796427500599
70,120.59834415482355,121.73555004636388,123.60336782039464
71,120.68359902323004,121.79798249446706,123.60173211042337
72,120.7465406445607,121.8689342776992,123.58126305185657
73,120.7880587747565,121.96779379860051,123.57018591961726
74,120.80542080829225,122.14749403622648,123.5541653805294
75,120.80377369572518,122.34388319379606,123.52938993347617
76,120.80013505015926,122.51494497765518,123.51608349257009
77,120.80272260424992,122.69463341531805,123.52025200078411
78,120.83546500134527,122.84391247361025,123.52743085630321
79,120.94664234223369,122.91685433632563,123.52887557318465
80,121.06184337994122,122.98584162490233,123.52990467020007
81,121.1841732697493,123.05521765824778,123.53061166628522
