,0.05,0.5,0.95
33,115.56650896559951,116.58411627338911,120.68294504948003
34,115.64188046704912,116.75808547578968,120.66346597800042
35,115.71888397949034,116.93120341486618,120.6480208786863
36,115.79688803326314,117.10248574968533,120.63703115131375
37,115.87463310322548,117.27196923252389,120.63003796547055
38,115.9506649292197,117.44219341517137,120.62459214408754
39,116.01397270224932,117.59737424071136,120.64931536115152
40,116.06538482958454,117.73388165981311,120.6867144704243
41,116.10575131454488,117.84934040369313,120.74581916686098
42,116.13201167083446,117.98047026447526,120.84043766758941
43,116.13950310660957,118.14083024701041,120.9679641314999
44,116.13078842478015,118.31447097348756,121.10478303495579
45,116.11877286467299,118.4988888965726,121.23622734620128
46,116.11699249444706,118.69128397054938,121.36803072668943
47,116.13633398781849,118.90484031140299,121.51029947520988
48,116.18298928171991,119.14679045773718,121.6590639835275
49,116.27435282880826,119.37160366340852,121.79091583367168
50,116.43585565384248,119.56521044027701,121.89444692915625
51,116.6468184296665,119.73207054998319,121.98209579293304
52,116.87573847639955,119.86881908329856,122.06756585908768
53,117.11604278897137,119.97606357105606,122.15077529715616
54,117.36651606681677,120.06465703602568,122.22858953318662
55,117.59112463797096,120.13880555046507,122.30715485331125
56,117.71508045104531,120.21325326677024,122.40482419695188
57,117.71987900780535,120.30044702524823,122.53033149541757
58,117.64452772001107,120.40051140462128,122.67534390705544
59,117.5403884132438,120.50518836299361,122.81894126609366
60,117.42853301481658,120.60935990115333,122.95353094376722
61,117.37417741463801,120.72020916650948,123.08862672708159
62,117.42911754586802,120.85395658999964,123.22624303510966
63,117.56416629466865,121.00942722386719,123.35004822205504
64,117.74669955401639,121.17003403395584,123.44450708568272
65,117.97346643605752,121.32420730194124,123.51818462433054
66,118.2689869088002,121.48044824383284,123.61181135196992
67,118.65919640319255,121.65173432953846,123.7363390966124
68,119.09396484143895,121.83451045772107,123.87394506804824
69,119.47845875467378,122.00987737611912,124.00993587342488
70,119.82512127383741,122.16590330225681,124.14177420083146
71,120.16190087899815,122.31125890851557,124.27801583873915
72,120.54116193752964,122.46495709053826,124.4173596010293
73,120.91040905671683,122.63209347934774,124.537412263265
74,121.15723890795105,122.80307075969141,124.62988938261506
75,121.37158482056854,122.96828162684805,124.70993424158459
76,121.57112380124008,123.13279553574543,124.7940819801837
77,121.76373464087195,123.30874772349296,124.8939790358692
78,121.95676166239956,123.49400781882402,125.01291190068086
79,122.13447418327536,123.67433867149629,125.13734617572472
80,122.2746528167167,123.83659689325371,125.25623496987428
81,122.39200094591098,123.98571176276228,125.37621988177916
82,122.52956606562255,124.13908565131062,125.50094382544015
83,122.70731676670765,124.29735912941656,125.62185568049608
84,122.90697315685114,124.44957148263309,125.72493621679318
85,123.09859225831067,124.58649572271032,125.8095288547269
86,123.27825050906861,124.71394992637087,125.90898635857633
87,123.46019796954735,124.84830959508038,126.0522405791847
88,123.64361358392466,124.9900227718708,126.23525979079062
89,123.8018434044569,125.12482939328831,126.40235100678748
90,123.90795846484671,125.24218744297714,126.54821137058245
91,123.9758755774978,125.34906895560648,126.69999207592615
92,124.04788977892494,125.45997876690461,126.87235115953689
93,124.13535955401983,125.57312404667385,127.00795441427627
94,124.22582676416195,125.67722775925142,127.07244210838503
95,124.30382445932592,125.7637384140884,127.10832389485394
96,124.36266839697694,125.83309305312714,127.14280936853979
97,124.40660856796936,125.8912937524304,127.18909969472838
98,124.43603729900914,125.93878711100338,127.24670647688762
99,124.44454433760343,125.9718972167719,127.3141871733136
100,124.42570623961043,125.99194647888106,127.3966977094122
101,124.38420083295549,126.01051371669328,127.49779748913936
102,124.33854487268556,126.04162602065921,127.61527596495336
103,124.29864561396953,126.08801978386447,127.740769592117
104,124.26783765975046,126.14744649367407,127.86627381523952
105,124.2444947920753,126.21774580288472,127.98617806021868
106,124.22011441973034,126.29283255247911,128.0921585385286
107,124.18564707811097,126.36330477680411,128.1700626659044
108,124.14287499719724,126.42215577655662,128.2134174472938
109,124.09860956178287,126.46535988252982,128.2274369060303
110,124.05678817958659,126.49383554735634,128.2168718000905
111,124.02214283295433,126.52122545891449,128.18096270858783
112,123.99799093785217,126.56017860218613,128.12197804968662
113,123.98177004956821,126.61032564964464,128.05027722664315
114,123.9752831338844,126.6686893836153,127.98081397033576
115,123.98500810400506,126.73338141152044,127.9215710583555
116,124.02187607721592,126.80314946897975,127.8738388172229
117,124.11769415536168,126.8754245276174,127.83670349481694
118,124.27174360635873,126.94400689352575,127.81431033242382
119,124.44074997421308,127.00037872789918,127.8125689764503
120,124.59854542641244,127.04448346428218,127.83179699839918
121,124.75053946330891,127.0883068400889,127.87580327568901
122,124.90610367027037,127.14368185523915,127.95076299310315
123,125.05047198145891,127.21200961110358,128.0454755380932
124,125.13965317041232,127.2849791738214,128.1425278771061
125,125.17212360105722,127.3547900545634,128.23487983941845
126,125.19304625464187,127.42112318091294,128.32506770840894
127,125.24976430331337,127.48748305374411,128.41143999447658
128,125.42061303979226,127.55085042353002,128.47904835518221
129,125.6581935231008,127.60306477363804,128.5150869491642
130,125.86935194701884,127.63961281001713,128.52672023648478
131,126.05331253630497,127.66335705192515,128.52855763925723
132,126.24250340415759,127.68473232618432,128.56585460631536
133,126.46790058090967,127.7098946269238,128.72182806551243
134,126.64526943666135,127.73797345400004,128.8999814321875
135,126.71631501674922,127.7698028257128,129.06514603228024
136,126.77549012534261,127.81806868682895,129.23889775847542
137,126.85686526168982,127.88999574770115,129.4341036198512
138,126.9553880534963,127.98329190130544,129.65616125869582
139,127.06537259035676,128.09493631914967,129.88452652986652
140,127.18212417961522,128.22066490946645,130.09449878604138
141,127.30744581929586,128.3554261748549,130.2959819507698
142,127.4482774754709,128.50690163126606,130.49050165910222
143,127.60086643374945,128.69991625106053,130.66704979812965
