,0.05,0.5,0.95
4,102.78205372078442,108.53250205644619,112.97428415655537
5,103.39914747369066,109.13931020612307,113.35504938882856
6,104.0262324251913,109.74579112106126,113.73530793453585
7,104.66638958917677,110.35164276431944,114.1152741725186
8,105.32207852764002,110.95632977311107,114.49472327412366
9,105.99512172849388,111.56025689054772,114.87222824296349
10,106.68705040405868,112.16497713335274,115.24474278971527
11,107.44373785641874,112.75153072075332,115.62434939535369
12,108.21325273750969,113.23524696928447,115.98032297612018
13,108.96101663975284,113.6790066837597,116.32322064972523
14,109.67569985186059,114.11462807409472,116.66545278345
15,110.36415923466802,114.54270170056787,117.00324090895278
16,111.02356897560125,114.97306377235927,117.3418014938764
17,111.60687362835704,115.39236670123334,117.67538341805732
18,112.07703161202696,115.78439808088423,117.94935740287103
19,112.43006636967196,116.14177649506226,118.2259107020503
20,112.70737921682104,116.48820932263409,118.53154100570472
21,112.90248202840468,116.82117156307096,118.82827722785048
22,113.03333299089104,117.13963895456907,119.09164136207704
23,113.14323597754833,117.46297564537157,119.36503117722076
24,113.25202280745789,117.82200945351909,119.64420885178106
25,113.38104160731349,118.10771925104378,119.8856696179922
26,113.56352725626775,118.27859635046245,120.10845166898997
27,113.82835956093349,118.41530270035925,120.29684195645424
28,114.14800413329777,118.53541634533917,120.38497394111126
29,114.44928818926996,118.64001636533783,120.4348621387666
30,114.71298311435045,118.72611051597413,120.48384029295758
31,114.96701155594369,118.79290763518824,120.53219822344113
32,115.23154555365183,118.83603491962532,120.57616739787863
33,115.4906874950963,118.76453518829854,120.61102253259831
34,115.69413636319047,118.53141408804942,120.6331066911267
35,115.81181520030256,118.39341818986784,120.64505131453728
36,115.86700548770918,118.30411341856511,120.65684429255275
37,115.91376234805881,118.20406255336488,120.67356390622109
38,115.9601012572562,118.04388087975468,120.69234740193654
39,116.00388615346509,117.8348940701056,120.71126876447941
40,116.04657353259103,117.80667785944208,120.73668091151217
41,116.0857593433015,117.87797442151121,120.78531482535786
42,116.11538816353381,118.00100288709658,120.86833520604898
43,116.13077670020077,118.16064871416171,120.98121742969235
44,116.1315526249412,118.33975988950414,121.10899202882979
45,116.12689358307382,118.52620288569437,121.23943689686732
46,116.13218489476887,118.71617604854474,121.36957167524655
47,116.16162209075722,118.91497657601258,121.50211491022145
48,116.23285516061395,119.13186298909778,121.63816424844119
49,116.35494586509016,119.34827137979897,121.76834305134757
50,116.5185737954309,119.53833734826424,121.8813721276278
51,116.70812637220416,119.7030513360738,121.97766475423278
52,116.91359756952754,119.84503085625445,122.06399224368656
53,117.13094257602114,119.96078569701353,122.14688534551678
54,117.34615518184648,120.05382125978804,122.23001108977923
55,117.52303002022114,120.1372414968351,122.3211501469189
56,117.6358254274364,120.22183780149996,122.42852984851285
57,117.67459977717013,120.31428704251948,122.55448154000088
58,117.64387874621409,120.4118770114079,122.68900222946027
59,117.5713405988139,120.51064998460134,122.8214345899556
60,117.51662344384047,120.61279219319741,122.95046385270733
61,117.5234514999273,120.72817108103811,123.07896413758935
62,117.57931591798719,120.86365862163862,123.20742502378125
63,117.66013748266566,121.01518485959448,123.32865945320873
64,117.78521398112055,121.17173404340605,123.43220603209424
65,117.99350499591492,121.32778882230332,123.52414452430459
66,118.30179909159392,121.48529086056625,123.62368917347985
67,118.69500947500511,121.64967115366726,123.74068185712564
68,119.10873173170857,121.82226556803573,123.86730785936622
69,119.49603945215038,121.99476291366003,123.99478826852794
70,119.85275351082393,122.15754167108157,124.12252249116099
71,120.19733448083518,122.3145955636583,124.25158918052435
72,120.54066555713624,122.4746893104418,124.38221002682403
