,0.5,0.05,0.95
1,108.0297960270199,105.44561243580061,112.04783303741381
2,108.25386202208567,105.72797657966484,112.21448840822323
3,108.4769373737204,106.00856074221215,112.38084794723845
4,108.69875761199175,106.28710237996086,112.54665319555198
5,108.91918607995039,106.56358022652013,112.71164106287321
6,109.13819185784955,106.83817648688489,112.87559562035231
7,109.35586087294588,107.11138980835327,113.03839343276512
8,109.57250683765784,107.38436058813461,113.20002114351446
9,109.78896842814257,107.65968819840133,113.36061754313866
10,110.00747458121724,107.94378972398545,113.52067682042114
11,110.23466747999355,108.25501018706295,113.68176118214517
12,110.49463869228542,108.65716128905672,113.84944577755519
13,110.87707889518467,109.35124359484206,114.04628313778294
14,111.1918378746956,109.78077466133682,114.24974349613535
15,111.37095146594345,109.88886576280616,114.45592109214098
16,111.4612825126178,109.87012926696713,114.6139793589498
17,111.53285576880938,109.84022311598414,114.71042484555142
18,111.60143933531005,109.81394211595592,114.77397566305983
19,111.66721687469855,109.79281518883113,114.82590102017045
20,111.72902725701712,109.77767953230773,114.87315776184215
21,111.7861185397453,109.76697800750006,114.91768786615413
22,111.83765714121273,109.75786504435976,114.9605997651193
23,111.88275721544618,109.74830746593935,115.0025141189644
24,111.92120646631719,109.7374772656808,115.04334342358003
25,111.95355994476853,109.72579695617577,115.08199753509928
26,111.98018971809888,109.71425103309976,115.11585335894173
27,112.00148191031357,109.70371811041386,115.14128799567663
28,112.01929088979901,109.69446351526338,115.17500664456242
29,112.03508050191971,109.68606921941625,115.33144752193839
30,112.04952749632338,109.67780402638135,115.68078375678951
31,112.06261604191752,109.66860207942084,116.04020339354429
32,112.07543434985236,109.65634774053397,116.30913179243765
33,112.09127787552349,109.63767267106589,116.51617361632513
34,112.11369173062465,109.6084644484741,116.69548217342064
35,112.14433525477594,109.58286088027903,116.86627275312378
36,112.18216768190233,109.68503022610628,117.0431218429392
37,112.22443163636528,109.96675147525505,117.24661453537347
38,112.26921232788473,110.19452102760307,117.5077911398638
39,112.31713019944894,110.33863018814844,117.85160099070376
40,112.36841765044232,110.4503232977193,118.2092122029125
41,112.42201111127031,110.55298034318989,118.40341085127083
42,112.47607616524516,110.6561387465139,118.45713997206798
43,112.52934418211095,110.76684263121702,118.48794627671325
44,112.58159969054834,110.8920903432584,118.51798081942248
45,112.63302170325959,111.04744288834154,118.5454533766846
46,112.68211566109863,111.2523680801609,118.54795113569773
47,112.72583274104026,111.44104058124398,118.46956338568364
48,112.75999618880662,111.54386724944027,118.30318138939779
49,112.78167564429037,111.60723128623829,118.12430442823491
50,112.79194607625705,111.64590022183701,117.97864108996997
51,112.79543820965023,111.66440113401092,117.86604639420501
52,112.7975600883141,111.66924447593982,117.77416748921272
53,112.80156608956663,111.66602895331059,117.69023226308146
54,112.80843284586635,111.65860625014794,117.60404989088424
55,112.81737749340995,111.64913587305476,117.50619953947783
56,112.82728302706818,111.63911253819002,117.38512165260977
57,112.83726654548519,111.63235954961124,117.22767329388532
58,112.84736687274635,111.63449873729728,117.03957650671774
59,112.85955377914517,111.6492191840534,116.88747316155718
60,112.87595231917486,111.676202677102,116.8314633480395
61,112.9001221157763,111.71415650272542,116.83289695803545
62,112.93861620819679,111.76125078821845,116.85096015508178
63,113.0009136013737,111.81584325302678,116.87918478644167
64,113.09370458962681,111.87714924849944,116.91570689052107
65,113.20976658358917,111.94422815286678,116.95793586875972
66,113.33270481847708,112.01631625017458,117.00382373215533
67,113.45168525682983,112.09300594661325,117.05199715258324
68,113.56224216830509,112.1744131169084,117.10137738154894
69,113.66377887114649,112.26118631745207,117.15089144323545
70,113.7591738901767,112.3534165526712,117.20079425100002
71,113.85227426882861,112.44891549641702,117.25236139220026
72,113.94744564118609,112.5445304954546,117.30683376868586
73,114.04886626720821,112.6362051623631,117.36461498993022
74,114.15827358299143,112.72034121492449,117.4247061368412
75,114.27034435190971,112.79546852139073,117.48472432622405
76,114.37059030589923,112.86228688192624,117.54106672487411
77,114.44039974041206,112.9225221720605,117.58937777832843
78,114.47377651265094,112.97796211538113,117.62742378554117
79,114.50336324137278,113.03015966182336,117.66751424363275
80,114.57436352575338,113.08063156480996,117.72911067531658
81,114.70107535829177,113.13104132607934,117.8147965072097
82,114.87696427168079,113.18298090633635,117.91832940142388
83,115.07588045559153,113.23741765479033,118.03339282691198
84,115.26746822677696,113.29677391031522,118.15220727946729
85,115.43891491986234,113.38347563183423,118.26690926733927
86,115.59178643178107,113.56029681682688,118.3716947168305
87,115.73275498776817,113.83541384544323,118.46450816498788
88,115.87053919984407,114.10687414029428,118.54804094915502
89,116.01678995486877,114.32577544659769,118.63203443483485
90,116.18754600662878,114.5063926031556,118.73515362268796
91,116.39663925951619,114.66714580070439,118.86879783435701
92,116.62543934626788,114.81992358267388,119.00213602870052
93,116.81693405473003,114.97581553030484,119.10885225124125
94,116.95645056545077,115.15102715312246,119.2000453498657
95,117.07009456478569,115.3684318306916,119.28129549506708
96,117.17579383573356,115.64602050676446,119.35442047870977
97,117.27791482438036,115.94071459180721,119.42042549973596
98,117.3766464335634,116.12802195967171,119.4794232095706
99,117.47145162190483,116.18931689749367,119.53126260745537
100,117.56298238774056,116.20698881938745,119.57601117642874
101,117.65413552810278,116.21944132830806,119.6143393951377
102,117.74862894981271,116.23325768767363,119.64815267010924
103,117.84851277969629,116.25018904088611,119.6810268212363
104,117.95388962877875,116.27134390004558,119.71586513532287
105,118.06295061872912,116.29704550085792,119.75430754881529
