,0.05,0.5,0.95
6,104.52411749240494,109.56376343485414,112.76331930597755
7,104.7096214098785,109.73116629799166,112.98606178699305
8,104.89584683971952,109.90131282175663,113.21390095059272
9,105.08389748342178,110.0744319774932,113.44554267079788
10,105.27517052807126,110.2506881220573,113.67898103353376
11,105.47056854309862,110.42972920567452,113.91231156038523
12,105.66986131223915,110.61019852716896,114.14241116679476
13,105.87013137780264,110.79269689423249,114.36034432326291
14,106.10760562448053,111.01003170126884,114.61096741863942
15,106.35803956447428,111.2423325182357,114.89764857069123
16,106.63007145844247,111.49316638566295,115.16672702573763
17,106.9318450094984,111.75966251421484,115.37602658767543
18,107.25853373641574,112.03113245993042,115.55234776853511
19,107.6019519244131,112.29280251510305,115.70888807525006
20,107.9524524894528,112.536019511944,115.84665566006663
21,108.30210442663308,112.75974287766051,115.96162183194505
22,108.67015435868336,112.96269046794012,116.0688740855883
23,109.074875022646,113.1446887390726,116.18014108493766
24,109.48849386258524,113.30286285190333,116.29307368697121
25,109.87913780308224,113.43176016391189,116.40352173825075
26,110.24754415375612,113.53089883902774,116.50952825856295
27,110.59776622195761,113.60383891555196,116.60894778440768
28,110.95245524849973,113.65611623691268,116.69771700512575
29,111.32596599215074,113.69199207845881,116.77119174958325
30,111.6167793828794,113.71135107895563,116.82398277054409
31,111.7690355598923,113.71143269829072,116.85160894197965
32,111.86894178806959,113.69473632693676,116.85599406168184
33,111.94878141443195,113.66609919375371,116.84532194700485
34,112.00979785000733,113.62632780728255,116.82710351548998
35,112.05991568077984,113.58054460300406,116.8103155439522
36,112.11042412977784,113.54132492977118,116.80391737252809
37,112.17075364352344,113.61860446408556,116.81144827480949
38,112.24254564261419,113.9533087809865,116.83208898587023
39,112.32159689533785,114.24379465999509,116.86431178739886
40,112.40872466637317,114.44339670997424,116.90851675274834
41,112.51762033966665,114.63475257567018,116.96649215646987
42,112.665997438642,114.88885902960992,117.03594544445936
43,112.84842594411383,115.22032919649472,117.10874938528411
44,113.04036868372422,115.43038838167945,117.17737195240687
45,113.22994925844692,115.53889752995809,117.23739849544826
46,113.42259532727645,115.612843741163,117.29066755719482
47,113.62506811668489,115.67852799994036,117.36320878244243
48,113.83703579531927,115.74925990303066,117.56159120717939
49,114.0462342734912,115.81776956398585,117.86035377282697
50,114.23441728889082,115.8744508505975,118.09815200312973
51,114.39208661447444,115.91671318194864,118.29230226624956
52,114.5266518431544,115.94773851910617,118.48687004582366
53,114.64940728810522,115.97094061240793,118.73275815677337
54,114.7599185376947,115.98518494601325,119.01435746168883
55,114.84816188940202,115.98688856603488,119.16453309084824
56,114.90776908795507,115.97688681801691,119.21685651469987
57,114.9472595702186,115.96386227560244,119.24834382731831
58,114.9797110212801,115.95991179571834,119.29548382680933
59,115.00879070905846,115.97369388454683,119.36665694935681
60,115.03734958867621,116.01959658296937,119.46116527891014
61,115.07167402871839,116.10764910782154,119.57884561311775
62,115.11619867796097,116.23523483423115,119.71654152285438
63,115.16903287010291,116.39535854682795,119.86543673055948
64,115.22538005758167,116.57590041491704,120.01795524177494
65,115.28158160015988,116.76695680907441,120.17043444579511
66,115.33582688211504,116.9511944020706,120.31832120469906
67,115.3872909244981,117.11993389417995,120.45562845586026
68,115.43369804983043,117.27297764352798,120.57768253760871
69,115.47201451886981,117.40331969872884,120.68377369919482
70,115.50036260541529,117.51268950646184,120.77932346579323
71,115.51913406023209,117.60477709077784,120.87255758502076
72,115.53180897019806,117.67551538985522,120.9683746009462
73,115.54310041902949,117.73312644278882,121.06446536067976
74,115.55665803847153,117.79223332911783,121.15572680953596
75,115.58134684711047,117.86800791097957,121.23907681519417
76,115.63185182252185,117.97141724861824,121.3145763061103
77,115.71346893773813,118.10209381358287,121.3840265052716
78,115.81852811342628,118.24926183659484,121.44572782673846
79,115.93712533677143,118.39669067257304,121.49686237157118
80,116.06824110608085,118.53651341010226,121.53995065704422
81,116.21745395740045,118.67682254607124,121.58780298823355
82,116.38677606349862,118.82529369006434,121.66245324319127
83,116.56943357914939,118.97821843278602,121.76742872319772
84,116.7522645460521,119.12202900643511,121.88261041068594
85,116.92729864938798,119.25041452508752,122.00163465311415
86,117.10263014805771,119.36773911969097,122.13080918037402
87,117.28967206639075,119.48246019400648,122.27338109022438
88,117.49130316687013,119.59766489497649,122.42568182339419
89,117.69916509314154,119.71036805975271,122.57759863021742
90,117.90635700752861,119.81717021639146,122.7147242089703
91,118.11034818025375,119.91581685149586,122.83484441189256
92,118.31511805104743,120.00734821242402,122.95437600987252
93,118.52383310476756,120.1229858670451,123.09075895232549
94,118.73327182527905,120.32113239502978,123.2472619064593
95,118.93971620854163,120.55086719176929,123.41979874331658
96,119.14479864118783,120.80928619218483,123.60763119803795
97,119.37072894250949,121.11788195368506,123.81404638136198
98,119.63603744860804,121.4295492937025,124.0306594612365
99,119.92004648129571,121.73285142695667,124.24451594423074
100,120.2035781446912,122.06408455163519,124.44735074097355
101,120.49256181692587,122.41577278846725,124.63619911914903
102,120.79044483855034,122.74165487403178,124.81005760414928
103,121.08922112646299,123.03743786303556,124.96546663199513
104,121.37461157734522,123.30168811120282,125.09866054185288
105,121.63005522645724,123.51871097622002,125.21666128998139
106,121.84284721159378,123.69966045305104,125.33864304715212
107,122.02356566159091,123.8791601060918,125.48467201530937
108,122.19510070428538,124.05799201287107,125.65377614364202
109,122.36115468316326,124.22896761942077,125.82910112629008
110,122.51898918202002,124.39482298454304,126.0015294413258
111,122.6715196651217,124.56530576335582,126.17088061307385
112,122.84690203951845,124.74751651967526,126.33816170179554
113,123.0802352876668,124.9368204968618,126.502211792647
114,123.34205272861846,125.11784859251642,126.65147558926101
115,123.59265628015126,125.28100276656826,126.78384788604582
116,123.83067633482565,125.43077364169855,126.91770620512308
117,124.06702176531519,125.57595713117362,127.0666991839382
118,124.3150568578693,125.71916005545225,127.2292624467339
119,124.56274197854323,125.85467353141338,127.39896091898468
120,124.77383967688705,125.98638285015515,127.5761064051472
121,124.93994214110539,126.1305914979187,127.76308639026622
122,125.07493114596274,126.31033985156759,127.95998888747059
123,125.20567307441665,126.52163720340414,128.1561575063868
124,125.33693954798453,126.73648267857114,128.33362070752446
125,125.46664075230584,126.94582449357719,128.49006318356578
126,125.59552504523514,127.15756537117942,128.63456784433384
127,125.72705748684022,127.37773992283465,128.77354649234837
128,125.87054580048908,127.60106157907383,128.91011128093146
129,126.02957579483794,127.80261782403906,129.04433814772477
130,126.20186886478531,127.97624629317477,129.1781050248186
131,126.38507942680852,128.17985930909722,129.32111751523698
132,126.58165385553605,128.46704729078343,129.52161272706607
133,126.79176461750843,128.792571398517,129.8848748186932
134,127.00922328370532,129.0842115621542,130.24226505394444
135,127.2262941607453,129.35094658358597,130.52537438159365
136,127.43851694012697,129.62446523271632,130.78958016549777
137,127.64172833693274,129.93144650588482,131.0843164128564
138,127.83413395152598,130.2570341301122,131.42540572686096
139,128.01547646035579,130.44984894768572,131.7201595178165
140,128.18893306624622,130.55425133268702,131.8512260045259
141,128.3592333948376,130.64226797904578,131.95751953865584
142,128.53479711931558,130.72542867525843,132.32392003292915
143,128.71923672446925,130.80473658304564,132.63884585036575
144,128.90616304602443,130.90580232692295,132.87930301123774
145,129.0877968558099,131.09881511472906,133.10284832219938
146,129.26197606604885,131.35470133080938,133.36876063866407
147,129.43489535437473,131.61816423889664,133.73797022955264
148,129.61599769019688,131.87957588541695,134.00864943809955
149,129.81579679392433,132.16612495735083,134.1122468303985
150,130.01338015852068,132.4474836723089,134.1895374330283
151,130.20657721604414,132.73097207930198,134.25793225595527
152,130.39853613285035,133.01659335722783,134.32401881305168
153,130.59105692326975,133.30295452986758,134.38922169707882
154,130.7850634840888,133.58817988973766,134.45348211586594
155,130.9807696574357,133.870610379562,134.51640440756972
